trip_seconds,trip_miles,cellId,label-gC,label-GT
0.218045,0.208,51,-1,-1
0.022556,0.006,3,-1,-1
0.037594,0.01,3,-1,-1
0.082707,0.045,32,-1,-1
0.047619,0.024,6,-1,-1
0.037594,0.014,3,-1,-1
0.027569,0.009,3,-1,-1
0.037594,0.019,3,-1,-1
0.017544,0.006,4,-1,-1
0.042607,0.021,6,-1,-1
0.057644,0.012,1,-1,-1
0.027569,0.006,3,-1,-1
0.102757,0.019,52,-1,-1
0.037594,0.01,3,-1,-1
0.022556,0.01,3,-1,-1
0.032581,0.011,3,-1,-1
0.032581,0.006,3,-1,-1
0.002506,0,4,-1,-1
0.022556,0.008,3,-1,-1
0.067669,0.01,0,-1,-1
0.012531,0.004,4,-1,-1
0.012531,0.009,4,-1,-1
0.072682,0.045,2,-1,-1
0.012531,0.007,4,-1,-1
0.067669,0.019,0,-1,-1
0.037594,0.015,3,-1,-1
0.012531,0.005,4,-1,-1
0.017544,0.005,4,-1,-1
0.062657,0.015,0,-1,-1
0.162907,0.068,53,-1,-1
0.002506,0.001,4,-1,-1
0.057644,0.011,1,-1,-1
0.027569,0.012,3,-1,-1
0.037594,0.012,3,-1,-1
0.22807,0.168,54,-1,-1
0.027569,0.005,3,-1,-1
0.022556,0.006,3,-1,-1
0.022556,0.007,3,-1,-1
0.022556,0.008,3,-1,-1
0.007519,0.005,4,-1,-1
0.047619,0.013,1,-1,-1
0.077694,0.01,0,-1,-1
0.022556,0.007,3,-1,-1
0.16792,0.172,55,-1,-1
0.037594,0.014,3,-1,-1
0.032581,0.008,3,-1,-1
0.057644,0.014,1,-1,-1
0.022556,0.01,3,-1,-1
0.027569,0.008,3,-1,-1
0.042607,0.024,6,-1,-1
0.022556,0.011,3,-1,-1
0.037594,0.012,3,-1,-1
0.052632,0.019,1,-1,-1
0.032581,0.009,3,-1,-1
0.032581,0.011,3,-1,-1
0.032581,0.006,3,-1,-1
0.007519,0.003,4,-1,-1
0.037594,0.015,3,-1,-1
0.032581,0.018,3,-1,-1
0.027569,0.01,3,-1,-1
0.20802,0.2,51,-1,-1
0.022556,0.014,3,-1,-1
0.027569,0.008,3,-1,-1
0.032581,0.009,3,-1,-1
0.052632,0.026,6,-1,-1
0.022556,0.006,3,-1,-1
0.042607,0.011,1,-1,-1
0.082707,0.079,20,-1,-1
0.042607,0.016,1,-1,-1
0.022556,0.008,3,-1,-1
0.092732,0.033,15,-1,-1
0.012531,0.006,4,-1,-1
0.022556,0.01,3,-1,-1
0.022556,0.011,3,-1,-1
0.20802,0.17,56,-1,-1
0.062657,0.018,0,-1,-1
0.177945,0.18,55,-1,-1
0.072682,0.009,0,-1,-1
0.027569,0.008,3,-1,-1
0.087719,0.041,32,-1,-1
0.062657,0.058,2,-1,-1
0.037594,0.012,3,-1,-1
0.032581,0.013,3,-1,-1
0.027569,0.011,3,-1,-1
0.027569,0.013,3,-1,-1
0.042607,0.014,1,-1,-1
0.042607,0.014,1,-1,-1
0.087719,0.061,20,-1,-1
0.042607,0.013,1,-1,-1
0.007519,0.004,4,-1,-1
0.047619,0.005,1,-1,-1
0.027569,0.011,3,-1,-1
0.12782,0.226,57,-1,-1
0.022556,0.006,3,-1,-1
0.022556,0.006,3,-1,-1
0.027569,0.01,3,-1,-1
0.057644,0.006,1,-1,-1
0.017544,0.007,4,-1,-1
0.082707,0.068,20,-1,-1
0.062657,0.016,0,-1,-1
0.067669,0.04,2,-1,-1
0.072682,0.02,5,-1,-1
0.012531,0.007,4,-1,-1
0.017544,0.168,58,-1,-1
0.042607,0.012,1,-1,-1
0.052632,0.023,6,-1,-1
0.243108,0.076,59,-1,-1
0.047619,0.012,1,-1,-1
0.042607,0.011,1,-1,-1
0.107769,0.048,23,-1,-1
0.022556,0.012,3,-1,-1
0.027569,0.01,3,-1,-1
0.017544,0.004,4,-1,-1
0.037594,0.01,3,-1,-1
0.203008,0.173,56,-1,-1
0.032581,0.012,3,-1,-1
0.062657,0.025,5,-1,-1
0.042607,0.029,6,-1,-1
0.007519,0.005,4,-1,-1
0.032581,0.012,3,-1,-1
0.027569,0.011,3,-1,-1
0.052632,0.026,6,-1,-1
0.037594,0.011,3,-1,-1
0.047619,0.02,6,-1,-1
0.007519,0.003,4,-1,-1
0.037594,0.012,3,-1,-1
0.037594,0.02,49,-1,-1
0.002506,0.002,4,-1,-1
0.027569,0.02,49,-1,-1
0.022556,0.01,3,-1,-1
0.002506,0.003,4,-1,-1
0.032581,0.016,3,-1,-1
0.14787,0.078,47,-1,-1
0.027569,0.011,3,-1,-1
0.027569,0.011,3,-1,-1
0.14787,0.136,31,-1,-1
0.037594,0.034,49,-1,-1
0.052632,0.014,1,-1,-1
0.077694,0.019,0,-1,-1
0.017544,0.006,4,-1,-1
0.077694,0.074,18,-1,-1
0.032581,0.015,3,-1,-1
0.057644,0.019,1,-1,-1
0.077694,0.02,5,-1,-1
0.037594,0.014,3,-1,-1
0.017544,0.007,4,-1,-1
0.072682,0.038,5,-1,-1
0.022556,0.006,3,-1,-1
0.017544,0.009,4,-1,-1
0.14787,0.047,36,-1,-1
0.047619,0.02,6,-1,-1
0.102757,0.035,10,-1,-1
0.042607,0.013,1,-1,-1
0.052632,0.017,1,-1,-1
0.037594,0.02,49,-1,-1
0.002506,0,4,-1,-1
0.057644,0.023,6,-1,-1
0.032581,0.016,3,-1,-1
0.002506,0.003,4,-1,-1
0.002506,0.002,4,-1,-1
0.042607,0.01,1,-1,-1
0.037594,0.02,49,-1,-1
0.027569,0.014,3,-1,-1
0.072682,0.034,5,-1,-1
0.022556,0.013,3,-1,-1
0.047619,0.035,6,-1,-1
0.042607,0.015,1,-1,-1
0.027569,0.028,49,-1,-1
0.037594,0.009,3,-1,-1
0.032581,0.008,3,-1,-1
0.243108,0.181,60,-1,-1
0.052632,0.013,1,-1,-1
0.017544,0.005,4,-1,-1
0.037594,0.013,3,-1,-1
0.182957,0.117,61,-1,-1
0.062657,0.041,2,-1,-1
0.057644,0.042,13,-1,-1
0.032581,0.011,3,-1,-1
0.017544,0.008,4,-1,-1
0.027569,0.012,3,-1,-1
0.047619,0.048,13,-1,-1
0.057644,0.018,1,-1,-1
0.117794,0.096,33,-1,-1
0.097744,0.013,9,-1,-1
0.082707,0.028,15,-1,-1
0.037594,0.01,3,-1,-1
0.007519,0,4,-1,-1
0.027569,0.01,3,-1,-1
0.057644,0.016,1,-1,-1
0.057644,0.042,13,-1,-1
0.203008,0.174,56,-1,-1
0.027569,0.008,3,-1,-1
0.012531,0.005,4,-1,-1
0.002506,0.001,4,-1,-1
0.032581,0.014,3,-1,-1
0.062657,0.041,2,-1,-1
0.052632,0.05,13,-1,-1
0.042607,0.024,6,-1,-1
0.032581,0.008,3,-1,-1
0.017544,0.007,4,-1,-1
0.012531,0.008,4,-1,-1
0.082707,0.043,32,-1,-1
0.012531,0.003,4,-1,-1
0.042607,0.022,6,-1,-1
0.047619,0.025,6,-1,-1
0.042607,0.02,6,-1,-1
0.022556,0.011,3,-1,-1
0.017544,0.006,4,-1,-1
0.032581,0.012,3,-1,-1
0.027569,0.01,3,-1,-1
0.012531,0.008,4,-1,-1
0.037594,0.011,3,-1,-1
0.017544,0.009,4,-1,-1
0.047619,0.013,1,-1,-1
0.062657,0.019,0,-1,-1
0.057644,0.03,6,-1,-1
0.062657,0.012,0,-1,-1
0.177945,0.177,55,-1,-1
0.24812,0.176,16,-1,-1
0.027569,0.01,3,-1,-1
0.027569,0.014,3,-1,-1
0.032581,0.021,49,-1,-1
0.022556,0.006,3,-1,-1
0.052632,0.017,1,-1,-1
0.017544,0.004,4,-1,-1
0.012531,0.004,4,-1,-1
0.022556,0.006,3,-1,-1
0.062657,0.05,2,-1,-1
0.027569,0.006,3,-1,-1
0.017544,0.008,4,-1,-1
0.032581,0.011,3,-1,-1
0.022556,0.007,3,-1,-1
0.132832,0.178,7,-1,-1
0.037594,0.013,3,-1,-1
0.107769,0.088,33,-1,-1
0.052632,0.009,1,-1,-1
0.072682,0.023,5,-1,-1
0.017544,0.008,4,-1,-1
0.012531,0.007,4,-1,-1
0.017544,0.008,4,-1,-1
0.082707,0.06,32,-1,-1
0.007519,0.003,4,-1,-1
0.027569,0.009,3,-1,-1
0.042607,0.01,1,-1,-1
0.037594,0.014,3,-1,-1
0.213033,0.173,56,-1,-1
0.017544,0.008,4,-1,-1
0.037594,0.011,3,-1,-1
0.067669,0.026,5,-1,-1
0.027569,0.009,3,-1,-1
0.007519,0.006,4,-1,-1
0.057644,0.017,1,-1,-1
0.097744,0.049,32,-1,-1
0.037594,0.008,3,-1,-1
0.032581,0.008,3,-1,-1
0.047619,0.011,1,-1,-1
0.027569,0.014,3,-1,-1
0.012531,0.003,4,-1,-1
0.017544,0.032,62,-1,-1
0.037594,0.01,3,-1,-1
0.027569,0.013,3,-1,-1
0.017544,0.004,4,-1,-1
0.172932,0.181,63,-1,-1
0.012531,0.006,4,-1,-1
0.057644,0.007,1,-1,-1
0.007519,0.003,4,-1,-1
0.032581,0.006,3,-1,-1
0.042607,0.009,1,-1,-1
0.037594,0.011,3,-1,-1
0.067669,0.037,5,-1,-1
0.12782,0.078,64,-1,-1
0.017544,0.008,4,-1,-1
0.042607,0.016,1,-1,-1
0.022556,0.008,3,-1,-1
0.012531,0.01,4,-1,-1
0.253133,0.171,16,-1,-1
0.037594,0.012,3,-1,-1
0.012531,0.005,4,-1,-1
0.037594,0.009,3,-1,-1
0.047619,0.019,1,-1,-1
0.022556,0.009,3,-1,-1
0.012531,0.007,4,-1,-1
0.037594,0.016,3,-1,-1
0.032581,0.008,3,-1,-1
0.017544,0.005,4,-1,-1
0.022556,0.011,3,-1,-1
0.037594,0.009,3,-1,-1
0.052632,0.029,6,-1,-1
0.022556,0.01,3,-1,-1
0.047619,0.017,1,-1,-1
0.037594,0.013,3,-1,-1
0.032581,0.015,3,-1,-1
0.022556,0.01,3,-1,-1
0.027569,0.007,3,-1,-1
0.057644,0.019,1,-1,-1
0.007519,0.007,4,-1,-1
0.012531,0.016,4,-1,-1
0.102757,0.057,23,-1,-1
0.007519,0.006,4,-1,-1
0.022556,0.01,3,-1,-1
0.022556,0.008,3,-1,-1
0.017544,0.006,4,-1,-1
0.042607,0.039,6,-1,-1
0.077694,0.02,5,-1,-1
0.022556,0.006,3,-1,-1
0.042607,0.016,1,-1,-1
0.052632,0.019,1,-1,-1
0.082707,0.032,15,-1,-1
0.067669,0.027,5,-1,-1
0.017544,0.007,4,-1,-1
0.057644,0.022,6,-1,-1
0.283208,0.17,65,-1,-1
0.112782,0.164,29,-1,-1
0.037594,0.017,3,-1,-1
0.022556,0.009,3,-1,-1
0.027569,0.008,3,-1,-1
0.032581,0.017,3,-1,-1
0.067669,0.049,2,-1,-1
0.142857,0.086,42,-1,-1
0.072682,0.049,2,-1,-1
0.027569,0.013,3,-1,-1
0.022556,0.011,3,-1,-1
0.037594,0.022,49,-1,-1
0.032581,0.012,3,-1,-1
0.047619,0.027,6,-1,-1
0.002506,0.003,4,-1,-1
0.017544,0.004,4,-1,-1
0.047619,0.006,1,-1,-1
0.072682,0.057,2,-1,-1
0.037594,0.009,3,-1,-1
0.047619,0.008,1,-1,-1
0.037594,0.006,3,-1,-1
0.067669,0.04,2,-1,-1
0.087719,0.023,15,-1,-1
0.032581,0.009,3,-1,-1
0.082707,0.029,15,-1,-1
0.042607,0.02,6,-1,-1
0.087719,0.014,9,-1,-1
0.172932,0.14,66,-1,-1
0.032581,0.005,3,-1,-1
4.97995,0.015,67,-1,-1
0.002506,0.002,4,-1,-1
