trip_seconds,trip_miles,cellId,label-gC,label-GT
0.117794,0.128,29,-1,-1
0.027569,0.011,5,-1,-1
0.203008,0.178,30,-1,-1
0.007519,0.004,0,-1,-1
0.032581,0.009,5,-1,-1
0.052632,0.044,31,-1,-1
0.057644,0.023,2,-1,-1
0.047619,0.024,2,-1,-1
0.062657,0.048,8,-1,-1
0.067669,0.024,10,-1,-1
0.072682,0.076,25,-1,-1
0.082707,0.06,7,-1,-1
0.042607,0.007,1,-1,-1
0.002506,0,0,-1,-1
0.037594,0.023,22,-1,-1
0.027569,0.012,5,-1,-1
0.052632,0.012,1,-1,-1
0.042607,0.021,2,-1,-1
0.047619,0.018,1,-1,-1
0.107769,0.038,11,-1,-1
0.047619,0.021,2,-1,-1
0.022556,0.008,5,-1,-1
0.017544,0.01,0,-1,-1
0.057644,0.033,2,-1,-1
0.12782,0.188,32,-1,-1
0.112782,0.065,33,-1,-1
0.087719,0.025,13,-1,-1
0.012531,0.007,0,-1,-1
0.047619,0.028,2,-1,-1
0.042607,0.018,1,-1,-1
0.007519,0.006,0,-1,-1
0.137845,0.177,15,-1,-1
0.097744,0.076,34,-1,-1
0.007519,0.004,0,-1,-1
0.022556,0.009,5,-1,-1
0.087719,0.033,13,-1,-1
0.002506,0.002,0,-1,-1
0.027569,0.011,5,-1,-1
0.042607,0.03,2,-1,-1
0.032581,0.032,22,-1,-1
0.017544,0.014,0,-1,-1
0.042607,0.039,2,-1,-1
